%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
94.0, -36.35930736921728, -43.700730982236564, 14.858622523956, -20.633028055541217, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228607540524E9, 0.0, 2023-06-28 12:27:40.754
94.0, 199.14219284057617, -241.1281796931289, 257.8960211444646, 209.1015464225784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228607540524E9, 0.0, 2023-06-28 12:27:40.754
0.0, -208.67145792767406, -290.2573754610494, -234.24863372463733, -232.81812199158594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228607778654E9, 0.0, 2023-06-28 12:27:40.777
1.0, -238.28772567678243, -324.57469745445997, -125.466163713485, -155.2750363103114, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228607911656E9, 0.0, 2023-06-28 12:27:40.791
1.0, -159.7049478078261, -209.92432441283017, -24.414066910743713, -66.39631386334077, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228607911656E9, 0.0, 2023-06-28 12:27:40.791
2.0, -165.46065383963287, -248.13488226011395, -195.70148488134146, -201.35060376441106, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608387601E9, 0.0, 2023-06-28 12:27:40.838
2.0, -237.8202381823212, -335.35682902671397, -178.35582888685167, -200.09773727925494, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608387601E9, 0.0, 2023-06-28 12:27:40.838
3.0, -155.74813365470618, -211.5848399931565, -15.70383991394192, -60.45735273370519, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608394785E9, 0.0, 2023-06-28 12:27:40.839
3.0, -110.26721029356122, -178.7185991825536, -104.51524416171014, -125.22120026638731, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608394785E9, 0.0, 2023-06-28 12:27:40.839
4.0, -213.2453555734828, -284.6475255275145, -213.46600967086852, -222.03973031928763, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860840297E9, 0.0, 2023-06-28 12:27:40.840
